city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
Pleasanton_CA,50,16.0,0.0205,0.0004,0.0001,0.0
Pleasanton_CA,50,32.0,0.0212,0.0001,0.0002,0.0
Pleasanton_CA,50,64.0,0.0208,0.0,0.0003,0.0
Pleasanton_CA,50,inf,0.0124,0.0,0.0124,0.0
Tampa_FL,25,8.0,0.1146,0.0028,0.0001,0.0
Tampa_FL,25,16.0,0.1103,0.0002,0.0001,0.0
Tampa_FL,25,32.0,0.1119,0.0001,0.0002,0.0
Tampa_FL,25,64.0,0.1119,0.0001,0.0004,0.0
Tampa_FL,25,inf,0.0625,0.0,0.0624,0.0
Tampa_FL,50,8.0,0.1139,0.0019,0.0001,0.0
Tampa_FL,50,16.0,0.1114,0.0001,0.0001,0.0
Tampa_FL,50,32.0,0.1093,0.0001,0.0002,0.0
Tampa_FL,50,64.0,0.1102,0.0001,0.0003,0.0
Tampa_FL,50,inf,0.0618,0.0003,0.0618,0.0003
Portland_OR,25,8.0,0.2681,0.0001,0.0001,0.0
Portland_OR,25,16.0,0.2587,0.0002,0.0001,0.0
Portland_OR,25,32.0,0.255,0.0002,0.0002,0.0
Portland_OR,25,64.0,0.259,0.0001,0.0003,0.0
Portland_OR,25,inf,0.1405,0.0003,0.1405,0.0003
Portland_OR,50,8.0,0.2682,0.0002,0.0001,0.0
Portland_OR,50,16.0,0.264,0.0002,0.0001,0.0
Portland_OR,50,32.0,0.2641,0.0001,0.0002,0.0
Portland_OR,50,64.0,0.2681,0.0002,0.0004,0.0
Portland_OR,50,inf,0.137,0.0002,0.1369,0.0002
FallsChurch_VA,25,8.0,0.0563,0.0008,0.0001,0.0
FallsChurch_VA,25,16.0,0.055,0.0,0.0001,0.0
FallsChurch_VA,25,32.0,0.0574,0.0002,0.0002,0.0
FallsChurch_VA,25,64.0,0.0562,0.0008,0.0004,0.0
FallsChurch_VA,25,inf,0.035,0.0001,0.035,0.0001
FallsChurch_VA,50,8.0,0.0577,0.0001,0.0001,0.0
FallsChurch_VA,50,16.0,0.0578,0.0005,0.0001,0.0
FallsChurch_VA,50,32.0,0.0583,0.0001,0.0002,0.0
FallsChurch_VA,50,64.0,0.0561,0.0005,0.0003,0.0
FallsChurch_VA,50,inf,0.0339,0.0,0.0338,0.0
Davis_CA,25,8.0,0.0159,0.0001,0.0001,0.0
Davis_CA,25,16.0,0.0148,0.0,0.0001,0.0
Davis_CA,25,32.0,0.0155,0.0001,0.0002,0.0
Davis_CA,25,64.0,0.0158,0.0,0.0003,0.0
Davis_CA,25,inf,0.0101,0.0,0.0101,0.0
Davis_CA,50,8.0,0.015,0.0,0.0001,0.0
Davis_CA,50,16.0,0.0151,0.0,0.0001,0.0
Davis_CA,50,32.0,0.0152,0.0,0.0002,0.0
Davis_CA,50,64.0,0.0154,0.0,0.0003,0.0
Davis_CA,50,inf,0.0099,0.0,0.0099,0.0
Brunswick_GA,25,8.0,0.0624,0.0002,0.0001,0.0
Brunswick_GA,25,16.0,0.0602,0.0,0.0001,0.0
